<hgeokg/resource/357621565>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/197294051>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/275052787>
<hgeokg/resource/5673538>	<hgeokg/schema/oneway>	oneway-yes
<hgeokg/resource/196116968>	<hgeokg/schema/hgv>	hgv-local
<hgeokg/resource/5670088>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/197294051>
<hgeokg/resource/275052787>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/278667969>
<hgeokg/resource/606283450>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/197294051>
<hgeokg/resource/197294051>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/5670793>
<hgeokg/resource/357621565>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5672889>
<hgeokg/resource/196116968>	<hgeokg/schema/oneway>	oneway-no
<hgeokg/resource/5673538>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/196116968>
<hgeokg/resource/5670793>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/275052787>
<hgeokg/resource/196116968>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/5672889>
<hgeokg/resource/357621565>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/275052787>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Polygon>
<hgeokg/resource/5673538>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/5670793>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/5672889>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/357621565>
<hgeokg/resource/196116968>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/357621565>
<hgeokg/resource/5672889>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/275052787>
<hgeokg/resource/5670333>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/5673538>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/606283450>
<hgeokg/resource/5670793>	<hgeokg/schema/oneway>	oneway-yes
<hgeokg/resource/606283450>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/5672889>	<hgeokg/schema/tigerReviewed>	tigerReviewed-no
<hgeokg/resource/278667969>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/196116968>
<hgeokg/resource/5670088>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/196116968>
<hgeokg/resource/5670088>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5672889>
<hgeokg/resource/275052787>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/5672889>
<hgeokg/resource/196116968>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5670333>
<hgeokg/resource/196116968>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/278667969>
<hgeokg/resource/275052787>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/AmenitySchool>
<hgeokg/resource/5673538>	<hgeokg/schema/tigerNameDirectionPrefix>	tigerNameDirectionPrefix-W
<hgeokg/resource/196116968>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/197294051>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/278667969>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/275052787>
<hgeokg/resource/197294051>	<hgeokg/schema/cyclewayLeft>	cyclewayLeft-track
<hgeokg/resource/275052787>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/BuildingSchool>
<hgeokg/resource/5670793>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/606283450>
<hgeokg/resource/197294051>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/HighwayResidential>
<hgeokg/resource/5670793>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/HighwayResidential>
<hgeokg/resource/5670088>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/5670088>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/275052787>
<hgeokg/resource/275052787>	<hgeokg/schema/gnisFeatureId>	gnisFeatureId-2083893
<hgeokg/resource/197294051>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/197294051>	<hgeokg/schema/oneway>	oneway-yes
<hgeokg/resource/278667969>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/HighwayResidential>
<hgeokg/resource/5672889>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5670088>
<hgeokg/resource/275052787>	<hgeokg/schema/ele>	ele-49
<hgeokg/resource/196116968>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/5673538>
<hgeokg/resource/5672889>	<http://www.w3.org/2000/01/rdf-schema#label>	West 168th Street
