<hgeokg/resource/266774911>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/525729008>
<hgeokg/resource/4316345593>	<hgeokg/schema/addrHousenumber>	addrHousenumber-155
<hgeokg/resource/3974095816>	<http://www.w3.org/2000/01/rdf-schema#label>	Jimmy's Corner
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/266149298>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Theatre>
<hgeokg/resource/397795464>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/266774911>
<hgeokg/resource/3708656757>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/819186608>
<hgeokg/resource/2676979157>	<hgeokg/schema/website>	website-http://www.planethollywoodintl.com/locations/new-york/
<hgeokg/resource/1426275725>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/823979088>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/569345544>
<hgeokg/resource/3974095815>	<hgeokg/schema/cuisine>	cuisine-belgian
<hgeokg/resource/2678650716>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149298>
<hgeokg/resource/46695596>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/6501259685>
<hgeokg/resource/266149325>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2722857810>
<hgeokg/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/4231956390>
<hgeokg/resource/266149302>	<http://www.w3.org/2000/01/rdf-schema#label>	Gerald Schoenfeld Theatre
<hgeokg/resource/4708892893>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2716231113>
<hgeokg/resource/702540318>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420494981>
<hgeokg/resource/266034080>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/6501259685>
<hgeokg/resource/137716320>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/226041026>
<hgeokg/resource/597937477>	<hgeokg/schema/network>	network-NYC Subway
<hgeokg/resource/2717543654>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/3922485803>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170758>
<hgeokg/resource/137716320>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/266034080>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/569345544>
<hgeokg/resource/266170536>	<hgeokg/schema/breakfast>	breakfast-yes
<hgeokg/resource/266149302>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1751769863>
<hgeokg/resource/682360554>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/6501259685>
<hgeokg/resource/258646144>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/4316345593>
<hgeokg/resource/266170756>	<hgeokg/schema/startDate>	startDate-1990
<hgeokg/resource/167922072>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/569345544>
<hgeokg/resource/7653858222>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034056>
<hgeokg/resource/657134182>	<Line_roads-Intersect-Polygon_landuse>	<hgeokg/resource/5671182>
<hgeokg/resource/2611782753>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:Citibank
<hgeokg/resource/86121620>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/3576199>
<hgeokg/resource/167922072>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2717293824>
<hgeokg/resource/266170545>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/3974095816>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170766>
<hgeokg/resource/682360554>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/569345544>
<hgeokg/resource/266149338>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/823979090>
<hgeokg/resource/2610440256>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/7613305940>
<hgeokg/resource/157835453>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/569345542>
<hgeokg/resource/266170825>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/266034047>	<hgeokg/schema/wikipedia>	wikipedia-en:New Victory Theater
<hgeokg/resource/266149329>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149324>
<hgeokg/resource/2676979157>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Restaurant>
<hgeokg/resource/4316345593>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/258646144>
<hgeokg/resource/2717293880>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293822>
<hgeokg/resource/86121621>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/226041025>
<hgeokg/resource/2774949526>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420494981>
<hgeokg/resource/266170757>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/137716320>
<hgeokg/resource/1752822408>	<http://www.w3.org/2000/01/rdf-schema#label>	Minskoff Theatre
<hgeokg/resource/266170540>	<Point_pois-Intersect-Polygon_buildings>	<hgeokg/resource/266170758>
<hgeokg/resource/266149373>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/702540318>
<hgeokg/resource/46695596>	<Line_railway-Adjacent-Line_railway>	<hgeokg/resource/823979088>
<hgeokg/resource/266170825>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266149373>
<hgeokg/resource/2717293824>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/823979087>
<hgeokg/resource/163629929>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/226041026>
<hgeokg/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2678466841>
<hgeokg/resource/4350615591>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149300>
<hgeokg/resource/1899033652>	<hgeokg/schema/takeaway>	takeaway-yes
<hgeokg/resource/420494981>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/SharedLane>
<hgeokg/resource/266034046>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/163474780>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/TourismHotel>
<hgeokg/resource/266170835>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170765>
<hgeokg/resource/397795464>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/258646143>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426275725>
<hgeokg/resource/7613305940>	<hgeokg/schema/network>	network-NYC Subway
<hgeokg/resource/2611782760>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/3679391773>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/266034046>
<hgeokg/resource/2178743031>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/525428785>
<hgeokg/resource/266170825>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/167922072>
<hgeokg/resource/569345544>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/803137436>
<hgeokg/resource/266149300>	<Point_pois-Intersect-Point_pois>	<hgeokg/resource/266149298>
<hgeokg/resource/3922485803>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2676979135>
